comments,likes
"Haha https://youtu.be/5EJkJi_yHHE?si=NXA7BkrkpL0WZHOZ @daily mail 3 weeks out of a 10 week period	 report the TRUTH ya gronks! Morons both of them Don't listen to that crap and never will Sitting on the road dribbling sht 10 mil a year? You’ve got to be joking! Actually who gives a rats Let's not beat around the bush he is a sooking	 fat	 blubbering	 uneducated bullying windbag. She looks good in lingerie Get pay outs to sell vaccines.. go woke go broke.. you where caught out kyle..% Who even needs $10million a year	 that’s just crazy? There wankers stay up in Sydney They are both idiots He’s a pig. He is a total dikhead. Jase and Lauren all the way Send them back to Sydney we don't need those two Only follow them on IG now.. Not even worth ten cents a millennium Because they are $10	0	000 a year faaark off.. Stopped listening years ago Why would you listen to these two idiots. Kyle in particular…………..I’m all about the The Christian O'Connell Breakfast Show. It’s a very funny and very Melbourne. Kick these two flogs back to Sydney	 we don’t need or want their vile existence here in Melbourne Not worth $5 bucks anywhere Pair of complete wankers…..total waste of space NO radio host deserves that amount of money a year! Just give me 1 of them and I could generate more interest in Melbourne! Those 2 are SO far past the common man	 they're in a world of their own self importance and awareness Both are HORRID Ppl want local content A fool and it's money are easily parted. They are a couple of grubby gobshites no idea how anyone could listen to these 2 pretending they're 22 Cannot stand Kyle and Jackie and the inappropriate filth they talk is unbelievable. The obese mysoginistic pig and the aging vapid bimbo are not what Melbourne want to listen to obviously. Jase and Lauren were way better and I think most listeners have… See more Spare us this crap! He is a total idiot. Tayla this makes me so happy Because when I’m driving at 6am I need to CONSTANTLY hear vulgar talk of dicks	 vaginas	 sexual escapades	 naked dating. I get this risquÃ© chat every now and again is fun	 but it’s every. Single. Day. And really turns you off. It’s really the only thi… See more Ignorance is bliss. pair of flogs Kyle is an absolute pig and should not be allowed o  the airwaves or television AT ALL EVER. Go .... 104.3 for me",4
Who listens to these turds??? How they convinced Sydney of it is beyond me. They’re disgusting. Kyle is a big sook n just don't listen to his rubbish .. n other team I never listen too either,2
"I think she is worse than him. Both disgusting. To much for morning radio As if Australia's cultural capital was ever going to be stormed by these two deadshits... We don’t like slimy pricks in Melbourne not to soon good riddens Kyle your disgusting YES! You need to ask the people	 KIIS! Kyle is a shitbag. Jackie is dangleberry. Here's my rating of all mainstream media that's a 5  rating they speak nothing but  and are complicit in crimes against humanity Melbourne people must be smarter than those in Sydney",7
Cos they aren't Can't stand this idiot or their idea's,3
"Both are a bunch of fuckwits I’m not a prude	 but KYLE is DISGUSTING PIG. I've changed from 101.1 fm to gold fm. He is an arrogant pig and thinks his sh.t don't stink. Now he can see the real normality people who knows fake. Welcome to Melbourne Kyle Jackie O NOT They aren't worth 5 bucks Ash Hays Matthew Christian clavicles I can't believe people still care about music that isn't metal how could we not have evolved as a species yet? Dumbasses Kyles best work https://youtu.be/JNbmUYF_xNo?si=AbJUR3gb1ECvDd-T We dont want you here.... Not worth a big Mac I like Christian O’Connell Give the slot to Matt and Alex Their foul What a joke. 10 mill a year what a fuking joke !!!!!!! No way 10mil for what 10 mil. What a joke.. No words Sophisticated here Pointless Lol I'm fukn shocked Hideous Hahaha sucked in. There NOT Yep	 see ya later!!!!!! Should rebrand the channel as SmutFM What $10	0000000!!! Time to go ! Good What a joke See ya!! WT??? Oh wow no way … too greedy No one is Kyle's Grey santa Claus beard is worth 10 million. Right wing twits. Greed Ridiculous K&JO= For Mindless media addicts A WOFTAM Talking rubbish. That's why.. Dribble Ridiculous Salaries Exactly Rubbish Radio Who Kyle’s a flog! Andrew Benstead big surprise",2
"10million a year WTAF Kyle Who !!! Ridiculous! Michael Rust hmm  not just us WHO CARES Haha 10 million a year ffs Good Surprise surprise Floggs Lol see ya Kyle and Jackie no Send em back Kyle & Jackie Who Just go gold 104	 bye bye good Vyle and Tackie Ho No thanks HAHAHAHAHAHAHAHA Vile and Jackie O..... See ya Overrated Go Gold104.3 Emma Kate Brian Carey the comments! Flogs! Gold FM any day! Radio fascists Blah blah blah it’s too early for ratings what a load of crap Dylan Culhane ahahahah see They are useless... Dana Louise HAHAHAHAHA Naaa Melissa Cavallo lol oh please waste of $$ W s Who! Poor snookums Sucked in FIFI	 fev & nick all the way FOX FM Ashleigh Turnham what you said Melb are snow flakes Bums Muppets There crap They idiots K. O. Why haven't these s been thrown in the harbour yet. The thumb and twig Fake news Whale and Crackie-O Haha SUCKED IN!! Vile	 perverted	 degenerate coke heads 10 million what absolute bull Paid to talk crap  and brainwash the country. Shame Shocker 100%  Andy Overpaid	overrated wankers Up em selves turds. Pig people",3
Melbourne people are a better class than Sydney people  you can have these two overpaid clowns back,2
"A repugnant pair flush them down the loo ! Just grubby. Go home. idk. Don’t think they’ve ever been worth anything other than minimum wage salaries tbh. I hope the people who have to put up with Kyle and his tantrums get paid well. I’m rather pleased they bombed. Not because I wish them failure but because that $10m took jobs from others and that is manifestly wrong. I hope the radio station goes to the wall because of this bad decision I don’t think they realise they’re getting a bit old to be carrying on like high school kids. Tayla this makes me so happy Kyle’s fat !! I cannot believe how much they get paid. A bit of a joke actually Ozempic Bye bye Wow.  There’s a surprise Paying millions to listen to there utter garbage are they serious	 listen to it one morning thought are they kidding switched off end of story BYE BYE Horrible people. Have no idea how they are still a thing. Flogs Can’t stand them Jase and Lauren where so much better big mistake on kiss fm’s part Wan……. Buffoons Help us Help is Good bye flogs Rubbish Oxygen thieves....... Maybe they could host their radio show from the bottom of Bass Strait.. that might be a good start..!! Worst Good! What a clown !! What ? They really believe that their worth that much ?? FFS get a real Job	 Oh but you might get your hands dirty thats right Losers Kyle and Jackie O is just trashy radio. Oxygen thieves Just ridiculous V Good! They were there for 3 weeks of a 10 week survey period. Who writes this crap? Hahaha	 welcome to Victoria Good bye bye All I hear is sexual content especially during school drop off times… I don’t want my kids hearing that rubbish. The  most disturbing I find this dumbarse ad they play on Smooth FM (aka play the same sht again and again)	 that drain man ad	 with the mindnumbingly stupid bogan nasal voice at the end THE DRAIN MAN. I stopped listening to Smooth because of it. Absolutely putrid Can't stand them time to change stations back to Jase and Lauren I could have told them that even without trying to debut in Melbourne .  They are overpayed hacks	 seriously. Kyle Sandilands has no talent	 just brash	 loud and outspoken....that's not talent.",7
"Could it be because Kyle is a piece of Can’t stand either of them. Total waste of time and money. Big deal	 NFG Good. 10 milliom to talk  yeah nah Dirt bags Not worth 10 bucks a year. Tina Paice lol M Kyle Sandilands hahaha WANNA BE GANGSTER HAHAHAHAHAHAHA What 	 outrages nothing better than fifi fev and nik Good Nexted They are useless Jase n Lauren ON TOP!!! Breakfast radio is such old hat crap… scripted crap that is funny only to people with no sense of humour… yes.. if you’re offended by that.. that means you lol FAIL WE DO NOT WANT YOU ON Radio in Melbourne you are both disgusting Always sucked Who And they all rate only half the listeners of Ross and Russ on 3AW. It’s a pity the ratings don’t tell the real story Wouldn’t pay them $10 Terrible trashy show… so not classy like Melbourne is.",5
"Jab pusher Yeah nah that money can go to better places They are crap	 go back to Sydney Who cares Will never ever listen to them give me The Marty B fast show any day or MMM any time WTF 10 Million what a farking joke. Rubbish the fat GUY ON THE LEFT LOOKS VERY UNHEALTHY ""Kyle is a self inflated flog and I wouldn't give him 10c even if he was the last """"entertainer"""" on earth."" Can’t stand the both of them Good Coz Melbourne is full of stiffs Why do you all care so much? Good for them they are obviously popular if you don’t like them don’t listen Simple. No one cares why you hate them or what your opinion might be. Just live your life ffs Absolute crap shouldn’t be on the air Fakenews Kasey Cutler get them off! Wow Drama!!! FAKE NEWS!!! This pair aren’t even worth $10 thank goodness Melbourne has realised this I love that people are starting to realise how crap they are. The radio station fired a beloved Melbourne team for them and just expected them to welcome them with open arms lol. I’m a Sydneysider and I’ve never understood their appeal. Kyle literally … See more",15
"Both terrible! Rubbish Who's paying them that much? Gotta be nuts. .... You could have paid me $1 million and I would have just told you they wouldn’t work here. I have never listened to Jase and Lauren (or whoever they are) but the second I heard they got shafted for these guys	 I was never going to listen to them. ""Radio presenters these days are boring as hell, a red shirt would offend them and their idea of exciting topics are things like """"should BBQ sauce be considered a sauce"""".  The only reason they have listeners is because people put them on as background n… See more"" Im a Hairdresser 	  one of the Low   Wages . WE deserved  to get paid more  than them . WHy? Not everyone can CUt HAIR … See more",12
Kyle the Dork Pair of insignificant nobodies. What sort of mindless drooler would find these two flogs entertaining. People listen to the radio? Haha Woohoo. Worth o 10 mil a year .. ok then.. Hahahahahaha. Good Wankers Wankers Hayden Lansdown interesting Can’t stand either of them,3
Not worth $10 let alone $10 million!,10
10mil a yr some ppl really don’t live on this planet lol What business does Daily Mail have in Australia  get in your lane your full of Every time I hear their names I taste a little bit of vomit in my mouth.  I can't believe Melbourne has been inflicted with this duo.,418
"Shock jock	 talentless hack. This is no surprise. Kyle gives off that scumbag vibe	 the personality of a reptile	 he seems he'd do anything to stay relevant	 you can't trust the bloke Good Jade Lewis Pathetic show full of disgusting subjects that Melbourne doesn’t like.  I would listen to 774 before them",3
Iv said it before and I’ll say it again NOBODY and I mean nobody at all outside of Sydney cares about these 2.. Horrid radio Can’t stand them Yaaay Ten mil a year what a f..Ken joke. This two are the worst. Is just cheap and bad radio. What a big mouth boof head he is . He’s flat out tying his shoe laces up Kyle Both entitled and not worth that money ever,2
Good for a laugh on the way to work in the morning. Wouldn't waste my time on them wasted time of my life Flogs Jase & Lauren all the way. Even my kids have a giggle. Way better than Kyle and Jackie O drivel and Fox crap,51
What a laugh that was ...10 million who would pay that much..for them pair. No thank you,10
Nowhere near left wing enough for Victorians Nothing but filth They are overpaid flogs!,2
Who ? Kyle ugh Not even worth $10,21
well at least Melbourne is awake to this mindless rubbish,12
Big money for little talent. P off Ridiculous amount of money for what they do! Wont convince me.  Trashy  is a word  that comes to mind.,4
Overated fuktards Go back to Gaylord Mardi grass Sydney homos would listen to them Not even worth $10,3
Idiots Well duh I could have told you that noone is Move On ... no wait... Melbourne still has r-a-d-i-o ??? Old fat guts not as popular as he thinks. That's because they're not.. I've lived in Sydney all my life & am appalled these 2 idiots are still on air. Let's not even start on the Easter show exposure.. Watching grass grow is far more appealing then listening or watching these 2 morons.. Can’t stand them. Mary Strickland Waste of air time not funny or interesting Grubby & predictable ! Quite boring !,6
"Who are they? No names Only thing making 10 million in Melbourne is the revenue for the local junkie injection rooms. Stupid people	  Stupid listeners Some fool pays them 10 mil?",3
They are a waste of space and airtime,35
"To do actual what ? Dribble bs Fifi	 Fev & Nick",2
"Love Lauren Who I am with Jase& Laurent You losers	 read the stats.. 3 of 11 weeks. I’ve never seen such a bunch of left wing I stand with Dan morons in my life Sydney -celebrities-personalities-don't fit with the Melbourne ethos- Gold digger Wankers 10 mill!!?? Gees. Spend the money on other things that are actually worth it. Not inflating their egos and big heads..",8
K&J …… Highly overrated. no surprise there Not worth 10cents a year,26
"Love Jase & Lauren on Nova 100 Time to go 	send em back to Sydney Fancy wasting millions on these 2 jerks Not worth half a mil",2
Go to hell Kyle Where's Frenzel Rhomb when you need them Sheree Anne how funny is this! Nobody's worth that,3
Not even 10 of that No Can’t stand these two,2
Can’t stand them,5
They're laughing all the way to the bank but that has to hurt the massive ego's. Especially Kyle!,136
Not worth $10,17
,0
